"original_name"	"broad_type"
"thymic epithelial cell"	"epithelial cell"
"immature t cell"	"t/nk cell"
"type ii alveolar epithelial cell"	"epithelial cell"
"renal tubular epithelial cells"	"epithelial cell"
"collecting duct principal cells"	"epithelial cell"
"immune cells (possibly macrophages or lymphocytes)"	"immune cell"
"renal interstitial cells"	"stromal cell"
"renal medullary cells"	"stromal cell"
"thick ascending limb cells"	"epithelial cell"
"gamma-delta t cells"	"t/nk cell"
"hematopoietic stem cells"	"stem cell"
"erythroid progenitor cells"	"erythroid cell"
"follicular helper t cell"	"t/nk cell"
"proliferating macrophage"	"myeloid cell"
"innate lymphoid cell"	"t/nk cell"
"pre - b cell"	"B cell"
"antigen - presenting cells"	"myeloid cell"
"hepatic vascular endothelial cells"	"endothelial cell"
"immune - activated cell"	"immune cell"
"activated cell (general)"	"immune cell"
"immune - related cell"	"immune cell"
"mammary gland epithelial cell"	"epithelial cell"
"germ cells"	"germ cell"
"renal tubular cells"	"epithelial cell"
"steroid - producing cells"	"steroidogenic cell"
"gastric epithelial cells"	"epithelial cell"
"steroidogenic cells"	"steroidogenic cell"
"trophoblast cells"	"placental cell"
"renal intercalated cells"	"epithelial cell"
"esophageal squamous epithelial cells"	"epithelial cell"
"immune cells (likely t cells or nk cells)"	"t/nk cell"
"immune cells (likely t cells)"	"t/nk cell"
"type i alveolar epithelial cell"	"epithelial cell"
"smooth muscle cell/pericyte"	"mesenchymal cell"
"gamma-delta t cell"	"t/nk cell"
"colon epithelial cells"	"epithelial cell"
"colon goblet cells"	"epithelial cell"
"colon fibroblasts"	"mesenchymal cell"
"colon macrophages"	"immune cell"
"colon t cells"	"t/nk cell"
"colon b cells"	"B cell"
"colon mast cells"	"immune cell"
"epithelial progenitor cells"	"epithelial cell"
"extracellular matrix - related cells"	"mesenchymal cell"
"kidney tubular cells"	"epithelial cell"
"b lymphocytes"	"B cell"
"t lymphocytes"	"t/nk cell"
"nk cells or cytotoxic t cells"	"t/nk cell"
"activated dendritic cell"	"immune cell"
"tenocytes"	"mesenchymal cell"
"endocrine cells"	"endocrine cell"
"nk/t cells"	"t/nk cell"
"salivary gland ductal cells"	"epithelial cell"
"naive t cell"	"t/nk cell"
"monocyte-derived macrophage"	"myeloid cell"
"exocrine cell"	"exocrine cell"
"renal epithelial cell"	"epithelial cell"
"placental trophoblast cell"	"placental cell"
"complement - related cell"	"immune cell"
"hepatocyte - related cell"	"hepatocyte"
"neutrophil - related cell"	"myeloid cell"
"macrophage - related cell"	"myeloid cell"
"placental syncytiotrophoblast cell"	"placental cell"
"adipose cells"	"adipocyte"
"fibroblast - like cell"	"fibroblast"
"ribosomal protein - related cells"	"ribosomal protein-related cell"
"lysosomal protein"	"lysosomal protein-related cell"
"ribosomal protein - expressing cell"	"ribosomal protein-related cell"
"ribosomal protein - related cell"	"ribosomal protein-related cell"
"fibroblast - related cell"	"fibroblast"
"osteoclast - related cell"	"osteoclast - related cell"
"adipocyte - related cell"	"adipocyte - related cell"
"sperm cell"	"sperm cell"
"defensin - producing cell"	"defensin - producing cell"
"steroid - producing cell"	"steroid - producing cell"
"pluripotent stem cell"	"pluripotent stem cell"
"cl:0000169"	"unknown"
"esophageal epithelial cell"	"epithelial cell"
"lymphoid cell"	"lymphoid cell"
"prostate glandular cells"	"epithelial cell"
"prostate smooth muscle cells"	"muscle cell"
"cl:0002622"	"unknown"
"prostate synaptic cells"	"unknown"
"prostate regulatory cells"	"unknown"
"prostate adhesion cells"	"unknown"
"prostate vascular cells"	"vascular cell"
"epidermal dendritic cell"	"immune cell"
"basal cell of esophagus"	"epithelial cell"
"cl:0000738"	"unknown"
"prostate immune cells"	"immune cell"
"γδ t cell"	"t/nk cell"
"cytotoxic lymphocyte"	"t/nk cell"
"venular endothelial cell"	"endothelial cell"
"plasma protein - related cell"	"other"
"b - cell - related cell"	"B cell"
"t - cell - related cell"	"t/nk cell"
"muscle cell"	"muscle cell"
"t - cell"	"t/nk cell"
"b - cell"	"B cell"
"erythroid - related cell"	"erythroid cell"
"macrophage - like cell"	"myeloid cell"
"salivary gland b cell"	"B cell"
"salivary gland t cell"	"t/nk cell"
"salivary gland myoepithelial cell"	"muscle cell"
"salivary gland cytotoxic t cell"	"t/nk cell"
"salivary gland ductal cell"	"epithelial cell"
"salivary gland endothelial cell"	"endothelial cell"
"salivary gland stromal cell"	"stromal cell"
"salivary gland proliferating cell"	"proliferating cell"
"salivary gland macrophage"	"myeloid cell"
"salivary gland plasma cell"	"B cell"
"salivary gland neutrophil"	"granulocyte"
"salivary gland non - coding rna - related cell"	"other"
"t cytotoxic cells"	"t/nk cell"
"proliferating t cytotoxic cells"	"t/nk cell"
"endothelial progenitor cell"	"endothelial cell"
"duct cell"	"epithelial cell"
"t cell precursor"	"t/nk cell"
"cholinergic neuron"	"neuron"
"lens cell"	"epithelial cell"
"antigen-presenting cells"	"antigen-presenting cell"
"alveolar epithelial cells"	"epithelial cell"
"glandular cell"	"epithelial cell"
"distal tubule cells"	"epithelial cell"
"mesangial cells"	"mesenchymal cell"
"immune cells (e.g., lymphocytes, monocytes)"	"immune cell"
"renal epithelial cells (non-specific type)"	"epithelial cell"
"pericyte cells"	"mesenchymal cell"
"megakaryocyte-erythroid progenitor cell"	"hematopoietic cell"
"hematopoietic stem cell"	"hematopoietic cell"
"b cell (mature)"	"B cell"
"b cell (immature)"	"B cell"
"natural killer t cell"	"T/NK cell"
"natural killer cell (subset)"	"T/NK cell"
"b cell (mature, with specific ig rearrangement)"	"B cell"
"lymphoid progenitor cell"	"Lymphoid progenitor"
"myeloid cell (subset)"	"Myeloid cell"
"pre-b cell"	"B cell"
"t cell (proliferating)"	"T/NK cell"
"alveolar type ii cells"	"Epithelial cell"
"antigen presenting cells (apcs)"	"Antigen presenting cell"
"marginal zone b cells"	"B cell"
"ribosomal protein-expressing cells"	"Other"
"immature b cells"	"B cell"
"thyroid cells"	"Epithelial cell"
"natural killer t cells"	"T/NK cell"
"ribosomal protein-expressing cell"	"Other"
"s100 protein-expressing cell"	"Other"
"0.283667850494385"	"Other"
"satellite cells"	"Other"
"schwann cells"	"glial cell"
"muscle fibers"	"muscle cell"
"sensory neuron"	"neuron"
"interstitial cells of cajal"	"interstitial cell"
"vascular smooth muscle cells"	"muscle cell"
"alveolar type i cells"	"epithelial cell"
"luminal epithelial cells"	"epithelial cell"
"myocytes (skeletal muscle cells)"	"muscle cell"
"fast-twitch myocytes"	"muscle cell"
"differentiated keratinocytes"	"epithelial cell"
"perivascular cells"	"perivascular cell"
"sebocytes"	"epithelial cell"
"cancer-associated fibroblasts"	"fibroblast"
"myeloblasts"	"myeloid cell"
"ganglion cells"	"neuron"
"proximal tubular cells"	"epithelial cell"
"rna transcript"	"rna"
"myeloid-derived suppressor cells"	"myeloid cell"
"cardiac fibroblasts"	"fibroblast"
"marginal zone b cell"	"B cell"
"prostate urothelial cells"	"epithelial cell"
"prostate macrophages"	"myeloid cell"
"prostate nk cells"	"t/nk cell"
"prostate erythroid cells"	"erythroid cell"
"prostate t cells"	"t/nk cell"
"prostate nkt cells"	"t/nk cell"
"prostate secretory cells"	"epithelial cell"
"prostate endothelial cells"	"endothelial cell"
"prostate neutrophils"	"myeloid cell"
"dendritic cells"	"myeloid cell"
"melanocytes"	"melanocyte"
"regulatory t cells"	"t/nk cell"
"helper t cells"	"t/nk cell"
"intestinal intraepithelial lymphocytes"	"t/nk cell"
"cytotoxic t lymphocytes"	"t/nk cell"
"b lymphocytes"	"B cell"
"proliferating cd8+ t cell"	"t/nk cell"
"mono/myeloid cell"	"myeloid cell"
"proliferating immune cell"	"proliferating cell"
"hematopoietic stem cell or progenitor cell"	"stem/progenitor cell"
"neural cell"	"neural cell"
"fetal muscle cell"	"muscle cell"
"ciliary body cell"	"epithelial cell"
"alveolar macrophages"	"myeloid cell"
"endothelial progenitor cells"	"endothelial cell"
"lymphoid progenitor cells"	"lymphoid cell"
"pro - b cells"	"B cell"
"antigen - presenting cell"	"antigen-presenting cell"
"enteric glial cell"	"glial cell"
"high endothelial venule endothelial cells"	"endothelial cell"
"t lymphocytes"	"t/nk cell"
"cell proliferation"	"neural cell"
"neurons (layer 4/5 neurons)"	"neural cell"
"neurons (lamp5 interneurons)"	"neural cell"
"neurons (pvalb interneurons)"	"neural cell"
"neurons (sst interneurons)"	"neural cell"
"neurons (npy interneurons)"	"neural cell"
"neurons (vip interneurons)"	"placental cell"
"syncytiotrophoblast"	"epithelial cell"
"alveolar cell"	NA
"neutronophil"	"granulocyte"
"none"	"unknown"
"b cell progenitors"	"B cell"
"nk cell or innate lymphoid cell"	"t/nk cell"
"antigen-presenting cell"	"antigen-presenting cell"
"granulocyte"	"granulocyte"
"cytotoxic cell"	"t/nk cell"
"extracellular matrix - associated cells"	"extracellular matrix-associated cell"
"basophil"	"granulocyte"
"extracellular matrix-related cell"	"extracellular matrix-associated cell"
"cell proliferation-related cell"	"cell proliferation-related cell"
"ribosomal protein-related cell"	"ribosomal protein-related cell"
"pyramidal cells"	"neuronal cell"
"interneurons"	"neuronal cell"
"mesenchymal stem cells"	"mesenchymal cell"
"neural progenitor cells"	"neural progenitor cell"
"leydig cells"	"stromal cell"
"epithelial cells"	"epithelial cell"
"vascular smooth muscle cells"	"muscle cell"
"muscle cells"	"muscle cell"
"neurons"	"neuronal cell"
"chromaffin cells"	"neuroendocrine cell"
"renal tubular cells"	"epithelial cell"
"mesonephric duct cell"	"epithelial cell"
"mesoderm progenitor cells"	"progenitor cell"
"macrophage cells"	"myeloid cell"
"juxtaglomerular cells"	"epithelial cell"
"intercalated cells"	"epithelial cell"
"g2/m phase cell"	"cell cycle phase"
"myeloid progenitor cell"	"progenitor cell"
"cardiac myocytes"	"muscle cell"
"rbc precursor"	"erythroid cell"
"extracellular matrix cell"	"connective tissue cell"
"mucus-secreting cell"	"epithelial cell"
"mitochondrial protein"	"organelle"
"cl:0000312"	"immune cell"
"0.18140059709549"	"immune cell"
"mhc class ii-positive cell"	"sensory cell"
"carotid body cell"	"immune cell"
"cl:0000747"	"immune cell"
"mitochondrial cells"	"other"
"adrenal cortical cells"	"epithelial cell"
"squamous epithelial cells"	"epithelial cell"
"leukocytes"	"immune cell"
"cl:1001573"	"unknown"
"cl:0000936"	"unknown"
"0.118303820490837"	"unknown"
"tumor-infiltrating lymphocyte"	"immune cell"
"mucus-secreting cells"	"epithelial cell"
"serous cell"	"epithelial cell"
"adipocytes"	"connective tissue cell"
"skeletal muscle fibers"	"muscle cell"
"myogenic progenitor cells"	"progenitor cell"
"transitional cells"	"epithelial cell"
"unknown 1"	"unknown"
"unknown 2"	"unknown"
"erythroid progenitor"	"progenitor cell"
"photoreceptor cells"	"neuronal cell"
"retinal pigment epithelial cells"	"epithelial cell"
"mesenchymal cells"	"connective tissue cell"
"vascular endothelial cells"	"endothelial cell"
"erythroid progenitor"	"erythroid cell"
"proximal tubule epithelial cell"	"epithelial cell"
"chromaffin cells"	"neuron"
"secretory epithelial cell"	"epithelial cell"
"leukocyte"	"immune cell"
"exocrine gland cell"	"epithelial cell"
"upper motor neuron"	"neuron"
"neuronal progenitor cells"	"progenitor cell"
"retinal progenitor cells"	"progenitor cell"
"complement component c3-producing cell"	"immune cell"
"estrogen receptor-positive cell"	"epithelial cell"
"glutamate receptor cell"	"neuron"
"gastrin-releasing peptide cell"	"epithelial cell"
"chorionic somatomammotropin cell"	"epithelial cell"
"type ii alveolar cells"	"epithelial cell"
"proximal tubular cells"	"epithelial cell"
"type i alveolar cells"	"myeloid cell"
"myeloid progenitor"	"progenitor cell"
"progenitor cell"	"progenitor cell"
"lipid metabolism cell"	"metabolic cell"
"liver cell"	"liver cell"
"pancreas cell"	"pancreas cell"
"0.18143550157547"	"unknown"
"carcinoma cell"	"malignant cell"
"exocrine cells"	"exocrine cell"
"sarcoplasmic reticulum cells"	"muscle cell"
"myofibrillar cells"	"muscle cell"
"cl:0002235"	"unknown"
"0.182834657033284"	"unknown"
"alveolar capillary endothelial cell"	"endothelial cell"
"mucosal cells"	"epithelial cell"
"fibroblast cells"	"connective tissue cell"
"exocrine cell"	"exocrine cell"
"unknown cells"	"unknown"
"monocyte/macrophage"	"immune cell"
"exocrine gland cell"	"exocrine cell"
"retinal cells"	"neuronal cell"
"lymphocytes"	"immune cell"
"epithelial-mesenchymal transition cells"	"epithelial cell"
"secretory cells"	"epithelial cell"
"extracellular matrix cells"	"connective tissue cell"
"neural cells"	"neural cell"
"immune cells"	"immune cell"
"gastric cell"	"epithelial cell"
"intraepithelial lymphocytes"	"immune cell"
"astrocytes"	"neural cell"
"oligodendrocytes"	"neural cell"
"interneurons"	"neural cell"
"pancreatic stellate cells"	"connective tissue cell"
"pancreatic endocrine cells"	"endocrine cell"
"fibrocyte"	"connective tissue cell"
"lymphoid progenitors"	"immune cell"
"sertoli cells"	"supporting cell"
"complement-producing cells"	"immune cell"
"placenta"	"placental cell"
"cilia-related genes"	"cellular component"
"surfactant proteins"	"cellular component"
"secretory proteins"	"cellular component"
"nusap1"	"cellular component"
"top2a"	"proliferating cell"
"plvap"	"endothelial cell"
"scgb3a1"	"epithelial cell"
"vwf"	"endothelial cell"
"tpm2"	"muscle cell"
"hpgd"	"epithelial cell"
"epas1"	"endothelial cell"
"sh3bp5"	"immune cell"
"wt1"	"epithelial cell"
"galnt9"	"epithelial cell"
"tubb1"	"platelet"
"scx"	"connective tissue cell"
"s100p"	"epithelial cell"
"phgr1"	"epithelial cell"
"pcsk1n"	"neuronal cell"
"zg16b"	"epithelial cell"
"proximal tubular epithelial cells"	"epithelial cell"
"glomerular endothelial cells"	"endothelial cell"
"renal proximal tubular cells"	"epithelial cell"
"hematopoietic progenitor cells"	"hematopoietic cell"
"proplatelet cells"	"megakaryocyte/platelet"
"c1qb"	"immune cell"
"effector memory t cells"	"t/nk cell"
"activated t cells"	"t/nk cell"
"nuclei"	"cellular component"
"follicular helper t cells"	"t/nk cell"
"centriolar satellites"	"cellular component"
"mucosal-associated invariant t cells"	"t/nk cell"
"double-negative t cells"	"t/nk cell"
"fibrocytes"	"connective tissue cell"
"*b cells"	"B cell"
"*unassigned"	"unassigned"
"fibroblastic reticular cell"	"connective tissue cell"
"dermal fibroblasts"	"connective tissue cell"
"intermediate filaments"	"cellular component"
"pancreatic enzymes"	"cellular component"
"neutrophil granules"	"immune cell"
"complement factors"	"immune cell"
"glycoproteins"	"cellular component"
"antigens"	"cellular component"
"mitochondrial proteins"	"other"
"cytoskeletal proteins"	"other"
"0.1287064909935"	"other"
"cytotoxic t lymphocytes"	"t/nk cell"
"secretory cells of the epididymis"	"epithelial cell"
"secretory cells of the lacrimal gland"	"epithelial cell"
"mitochondria"	"other"
"sebaceous glands"	"epithelial cell"
"basal epithelial cells"	"epithelial cell"
"cl:4030041"	"other"
"cl:0011012"	"other"
"skeletal muscle fibers"	"muscle cell"
"*melanocytes"	"other"
"*dermal fibroblasts"	"connective tissue cell"
"*langerhans cells"	"immune cell"
"*sebaceous glands"	"epithelial cell"
"*keratinocytes"	"immune cell"
"*neutrophils"	"muscle cell"
"skeletal muscle satellite cells"	"connective tissue cell"
"fibro/adipogenic progenitors"	NA
"neural crest stem cells"	"stem cell"
"extracellular matrix protein"	"extracellular matrix"
"neutral endopeptidase"	"enzyme"
"glucocorticoid metabolizing enzyme"	"enzyme"
"secretoglobin"	"secretory cell"
"bladder epithelial cells"	"epithelial cell"
"intermediate cells"	"epithelial cell"
"cells involved in blood coagulation"	"blood cell"
"müller glia"	"glial cell"
"rod photoreceptors"	"neuronal cell"
"wnt signaling pathway in cancer"	"signaling pathway"
"effector t cells"	"t/nk cell"
"il7r+ klrb1+ srgn+ gpr183+ anxa1+ arl4c+ cd2+ cxcr4+ sytl3+ crem"	"epithelial cell"
"muc12+ fxyd3+ spink1+ fam3d+ cldn3+ slc26a2+ elf3+ phgr1+ ckb+ c15orf48"	"glial cell"
"cryab+ cdh19+ clu+ nrxn1+ sparcl1+ plp1+ lgi4+ spp1+ scn7a+ myot"	"B cell"
"jchain+ igha2+ mzb1+ derl3+ cd79a+ ccl3+ spag4+ cd27+ tnfrsf17+ mir155hg"	"t/nk cell"
"klrd1+ ccl5+ ccl4+ cd8a+ cd7+ ptprc+ srgn+ sytl3+ crem+ il7r"	"extracellular matrix"
"dcn+ mgp+ c11orf96+ cfd+ adh1b+ cald1+ igfbp5+ igfbp6+ fbln1+ gsn"	"epithelial cell"
"muc2+ fcgbp+ rep15+ clca1+ st6galnac1+ klk1+ best2+ npdc1+ hepacam2+ mlph"	"epithelial cell"
"ca7+ best4+ guca2a+ spib+ ca4+ krt20+ msln+ hes4+ krt19+ frmd1"	"epithelial cell"
"hla-dra+ cd74+ cd79a+ hla-dpb1+ hla-dpa1+ tnfrsf13c+ ms4a1+ bank1+ laptm5+ cd83"	"B cell"
"mki67+ tk1+ pclaf+ cenpw+ ube2c+ cenpf+ top2a+ tyms+ hells+ mad2l1"	"cell proliferation marker"
"tpsb2+ tpsab1+ cpa3+ il1rl1+ gata2+ hpgds+ ms4a2+ ltc4s+ fcer1g+ tyrobp"	"mast cell"
"cldn5+ pecam1+ cavin2+ vwf+ ackr1+ lifr+ pcat19+ plvap+ egfl7+ clec14a"	"endothelial cell"
"rnu6atac+ rf00100-4+ mir320a+ ac020911.2+ cabyr+ dll4+ hist2h4b+ foxq1+ snord3a+ mycl"	"unknown"
"chga+ cryba2+ scgn+ scg5+ gcg+ scg2+ cacna1a+ cpe+ chgb+ fev"	"neuroendocrine cell"
"c5ar1+ cd163+ s100a9+ il1b+ c1qa+ tyrobp+ c1qb+ s100a8+ c1qc+ fcgr2a"	"myeloid cell"
"sh2d6+ trpm5+ bmx+ hck+ sh2d7+ b4galnt4+ itprid1+ pou2f3+ snora80e+ ogdhl"	"unknown"
"mtnd1p23+ ugt2b17+ rpl10p9+ mt1g+ adh1c+ pigr+ al450405.1+ cd24+ lgals4+ ca2"	"epithelial cell"
"aldh1b1+ ascl2+ ptpro+ lgr5+ nos2+ rpl41p5+ smoc2+ cdca7+ ap003774.4+ aqp1"	"epithelial cell"
"mtnd1p23+ slc26a3+ ceacam7+ mtco1p12+ ap001034.1+ clca4+ mtrnr2l12+ mtco3p12+ ceacam1+ mtco1p40"	"epithelial cell"
"ac114801.3+ fp671120.5+ rnu1-1+ rnu6-6p+ mtco2p2+ rnu1-4+ mtatp8p2+ rnu1-2+ mtrnr2l1+ mtrnr2l8"	"unknown"
"cytotoxic lymphocytes"	"lymphocyte"
"elastic fibers"	"connective tissue"
"complement component"	"immune system"
"effector memory cd8+ t cells"	"lymphocyte"
"pancreatic zymogen cells"	"epithelial cell"
